,country,count
4,Argentina,150
45,Mexico,146
7,Barbados,100
81,United States,54
17,China,44
5,Australia,31
31,Iceland,25
25,France,25
37,Israel,25
41,Kenya,21
26,Germany,20
14,CA,19
38,Italy,18
60,Philippines,18
52,New Zealand,16
12,Brazil,15
36,Ireland,13
44,Mali,13
32,India,13
16,Canada,12
67,Somalia,12
78,UK,12
74,Tanzania,11
64,Russia,11
24,Finland,11
55,Oman,9
57,Panama,9
33,Indonesia,9
61,Poland,8
72,Sweden,6
11,Botswana,6
79,Ukraine,6
56,Pakistan,5
43,Malaysia,5
80,United Kingdom,5
68,South Africa,5
0,Afghanistan,4
50,Nepal,4
82,Vanuatu,4
1,Albania,4
51,Netherlands,3
53,North Macedonia,3
70,Spain,3
42,Libya,3
2,Algeria,3
6,Austria,3
34,Iran,3
30,Hawaii,3
21,East Africa,3
40,Japan,2
58,Papua New Guinea,2
19,Denmark,2
13,Bulgaria,2
73,Switzerland,2
39,Jamaica,2
10,Bosnia and Herzegovina,2
75,Thailand,2
22,Ecuador,2
27,Greece,2
23,Ethiopia,2
54,Norway,2
9,Belgium,2
8,Belarus,2
47,Morocco,2
76,Turkey,1
15,Cambodia,1
77,Türkiye,1
3,Angola,1
71,Sudan,1
20,Dominican Republic,1
69,South Sudan,1
18,Colombia,1
66,Serbia,1
65,Russian Federation,1
63,Qatar,1
62,Portugal,1
59,Paraguay,1
28,Guatemala,1
29,Haiti,1
35,Iraq,1
49,Myanmar,1
48,Mozambique,1
46,Mongolia,1
83,Wallis and Futuna,1
