,phrase,label,sentiment,subjectivity,language,count
Typhoon Haikui,Typhoon Haikui,PERSON,0.04306175595238095,0.1339781746031746,en,56
Typhoon Doksuri,Typhoon Doksuri,PERSON,0.04231751477034496,0.3183457213645893,en,53
Typhoon Saola,Typhoon Saola,PERSON,0.037906976744186034,0.2595251937984497,en,43
Forecast Cone,Forecast Cone,PERSON,0.050000000000000024,0.23666666666666658,en,31
Joe Biden,Joe Biden,PERSON,-0.08693272005772004,0.40463564213564196,en,28
Ron DeSantis,Ron DeSantis,PERSON,-0.01539855072463768,0.20869565217391303,en,23
Roman Storm,Roman Storm,PERSON,0.06891414141414141,0.28943602693602694,en,18
SAMY MAGDY,SAMY MAGDY,PERSON,-0.08010416666666667,0.30559895833333334,en,16
Storm Lee,Storm Lee,PERSON,-0.1351166125541126,0.5309485930735931,en,16
Typhoon Lan,Typhoon Lan,PERSON,0.023326919993586662,0.14212522045855377,en,15
REBECCA BOONE,REBECCA BOONE,PERSON,-0.03984848484848485,0.19768939393939397,en,12
Dafne Keen,Dafne Keen,PERSON,-0.006969696969696964,0.356969696969697,en,11
Josh Green,Josh Green,PERSON,-0.0928856749311295,0.4461363636363636,en,11
Storm Betty,Storm Betty,PERSON,-0.0076666666666666715,0.3373888888888889,en,10
Bernardo Arevalo,Bernardo Arevalo,PERSON,0.20888888888888887,0.29148148148148156,en,9
Roman Semenov,Roman Semenov,PERSON,0.12575517075517076,0.2724025974025974,en,9
Storm Antoni,Storm Antoni,PERSON,0.0018518518518518485,0.17962962962962964,en,9
El Nino,El Nino,PERSON,-0.1285748106060606,0.49256628787878787,en,8
Eric Adams,Eric Adams,PERSON,-0.062020878427128424,0.2638945256132756,en,8
Pernille Harder,Pernille Harder,PERSON,-0.04583333333333334,0.10027777777777777,en,8
Khalid Alkowash,Khalid Alkowash,PERSON,0.02375,0.3499999999999999,en,8
Xi Jinping,Xi Jinping,PERSON,-0.037043908472479896,0.2634075448361163,en,7
Rio Grande,Rio Grande,PERSON,-0.135952380952381,0.34119047619047616,en,7
Luis Rubiales,Luis Rubiales,PERSON,0.022005772005772004,0.06435786435786436,en,7
Yevgeny Prigozhin,Yevgeny Prigozhin,PERSON,-0.03333333333333333,0.027777777777777776,en,6
Ursula von der Leyen,Ursula von der Leyen,PERSON,-0.17373737373737375,0.26900252525252527,en,6
Cyclone Freddy,Cyclone Freddy,PERSON,0.34047619047619043,0.5490079365079366,en,6
Storm Hans,Storm Hans,PERSON,-0.03229166666666666,0.3013888888888889,en,6
Victor Osimhen,Victor Osimhen,PERSON,0.11018518518518516,0.2898148148148148,en,6
Sophie Nélisse,Sophie Nélisse,PERSON,-0.013611111111111102,0.31222222222222223,en,6
Nick Frost,Nick Frost,PERSON,-0.14166666666666666,0.3277777777777778,en,6
Donald Trump,Donald Trump,PERSON,-0.002651515151515157,0.15544733044733045,en,6
