index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'29ee5966db',extremes,Precipitation,#d60d2b,wmo,Precipitation Tamps Camp Chis Oax Ver. Dgo Chih,2024-03-11T02:38:00+00:00,Mexico,0.7459725401977296,1.0,1.0,en,NCA,North-America
'36ddc82534',extremes,Flood,#030ba1,wmo,Flooding Jones MS,2024-03-11T02:38:00+00:00,United States,0.7459310759796713,1.0,1.0,en,CNA,North-America
'7cbc5112d7',extremes,Flood,#030ba1,wmo,Flashflood Dale AL,2024-03-10T02:40:00+00:00,United States,0.7458947521623959,1.0,1.0,en,CNA,North-America
'd0c696ae6c',extremes,Landslide,#572c03,relief,Land Slide Viet Nam,2024-03-08T07:55:00+00:00,Viet Nam,0.745832037445196,1.0,1.0,en,SEA,Asia
'6e185b640a',extremes,Flood,#030ba1,wmo,Flashflood Attala MS Holmes MS,2024-02-02T02:38:00+00:00,United States,0.7458076453650603,1.0,1.0,en,CNA,North-America
'8a12cbcd0c',extremes,Storm,#b3b2b1,wmo,Storm Surge MSILA,2024-03-01T02:41:00+00:00,Algeria,0.7457997333238561,1.0,1.0,en,SAH,Africa
'17f57d4114',extremes,Flood,#030ba1,wmo,Flooding Bourbon KY,2024-02-29T02:40:00+00:00,United States,0.7457380150203738,1.0,1.0,en,CNA,North-America
'42bf8ef357',extremes,Wildfire,#d60d2b,wmo,Wildfire Grant Garfield,2024-03-03T02:38:00+00:00,United States,0.7457109248981266,1.0,1.0,en,CNA,North-America
'f6866affb8',extremes,Flood,#030ba1,wmo,Flashflood Washington LA Pearl River MS,2024-02-11T02:38:00+00:00,United States,0.7456635909095108,0.0,2.0,en,CNA,North-America
'57ee36d33c',extremes,Heat Wave,#c40202,relief,Heat Wave Peru,2024-02-29T02:38:00+00:00,Peru,0.7456353660287983,0.0,2.0,en,NWS,South-America
'44456b3647',extremes,Drought,#edc291,edo,Drought Iran,2024-02-27T02:38:00+00:00,Iran,0.7456026511426893,0.0,2.0,en,WCA,Asia
'26eda32389',extremes,Fog,#d60d2b,wmo,Fog Central Baltic East,2024-02-28T02:38:00+00:00,Latvia,0.7455970367314531,0.0,2.0,en,WCE,Europe
'275d19cea5',extremes,Snow&Ice,#d60d2b,wmo,Frost Clyde River,2024-02-19T02:38:00+00:00,Canada,0.7454777937584787,0.0,2.0,en,NEN,North-America
'6d5d700fde',extremes,Earthquake,#870007,usgs,Earthquake Kyrgyzstan,2024-02-17T02:38:00+00:00,Kyrgyzstan,0.7454359149380694,0.0,2.0,en,ECA,Asia
'aa704a9a6b',extremes,Earthquake,#870007,usgs,Earthquake Gizo,2024-02-08T02:37:00+00:00,Solomon Islands,0.7454030148288677,0.0,2.0,en,EPO,Pacific Ocean
'171f855467',extremes,Flood,#030ba1,wmo,Flooding Hartford CT Middlesex CT,2024-03-08T07:57:00+00:00,United States,0.745353096702102,0.0,2.0,en,CNA,North-America
'0a94840d82',extremes,Flood,#030ba1,wmo,Flashflood Pulaski GA,2024-02-14T02:38:00+00:00,United States,0.7453509269984588,0.0,2.0,en,CNA,North-America
'86ddfb3f0e',extremes,Wildfire,#d60d2b,wmo,Wildfire Eastern Panhandle Crescent Lake NWR,2024-03-11T02:38:00+00:00,United States,0.7453398124202333,0.0,2.0,en,CNA,North-America
'6f43ed7ec9',extremes,Flood,#030ba1,wmo,Flood Lee GA,2024-03-10T02:40:00+00:00,United States,0.7453218323268248,0.0,2.0,en,CNA,North-America
'eaf9cd7b01',extremes,Storm,#b3b2b1,wmo,Storm Surge BOUMERDÈS,2024-03-04T03:13:00+00:00,Algeria,0.7452879165733789,0.0,2.0,en,SAH,Africa
'2acf91aa89',extremes,Flood,#030ba1,wmo,Flood Essex NJ Passaic NJ,2024-03-11T02:38:00+00:00,United States,0.7452708382500169,0.0,2.0,en,CNA,North-America
'3e6d467231',extremes,Flood,#030ba1,wmo,Flood Long GA Wayne GA,2024-02-27T02:38:00+00:00,United States,0.7452625354559241,0.0,2.0,en,CNA,North-America
'ad35c87422',extremes,Wildfire,#d60d2b,wmo,Wildfire Jingdong Yi Autonomous County,2024-02-19T02:38:00+00:00,China,0.7452541080410948,0.0,2.0,en,EAS,Asia
